V,100I
1,0
0.94,0.2
0.92,0.4
0.87,0.8
0.85,1
0.82,1.8
0.8,2
0.78,3.6
0.75,6
0.73,9.8
0.72,12
0.71,14.2
0.7,18
0.68,26.6
0.66,39.8
0.65,48
0.62,82.6
0.61,96.2
0.567,200
0.435,1000
0.394,1400
0.347,2000
