V,100I
2,0
1.7,0.2
1.65,0.4
1.62,0.6
1.6,1.2
1.57,1.8
1.55,2
1.52,3
1.5,4
1.47,5.6
1.45,6.8
1.42,9.6
1.4,11.8
1.35,18.2
1.3,38.4
1.25,42
1.2,60.4
1.15,84.2
1.13,94.6
1,100
