V,100I
1.5,0
1.35,0.2
1.34,0.4
1.32,1
1.3,1.8
1.27,2.4
1.26,3
1.25,3.8
1.22,6
1.21,7.2
1.2,8.4
1.178,12
1.17,14
1.16,16
1.15,18.2
1.117,30
1.108,34
1.099,38
1.064,60
1.039,80
0.881,140
0.749,1000
