V,100I
1,0
0.8,0
0.79,0.2
0.78,0.4
0.76,0.8
0.75,1.2
0.72,1.8
0.7,2.2
0.68,4.2
0.66,7.8
0.65,10
0.64,13.8
0.63,18.2
0.62,24.2
0.61,31.8
0.6,42
0.58,72
0.57,89.8
0.543,200
0.508,400
0.454,1000
0.433,1400
0.409,2000
