v=140,,v=150,,v=180,
I,2R,I,2R,I,2R
1.1,6.1,1.1,7.935,1.1,8.949
1.2,5.792,1.2,7.333,1.2,8.429
1.3,5.398,1.3,6.83,1.3,7.638
1.5,4.765,1.5,5.895,1.5,6.616
1.6,4.204,1.6,5.366,1.6,6.168
1.7,4.114,1.7,5.161,1.7,5.811
1.8,3.719,1.8,4.884,1.8,5.36
