i=1.3,,i=1.5,,i=1.7,
V,2R,V,2R,V,2R
120,5.398,120,4.765,120,4.114
150,6.83,150,5.895,150,5.161
180,7.638,180,6.616,180,5.811
200,8.015,200,7.031,200,6.274
220,8.813,220,7.419,220,6.65
240,9.065,250,8.113,250,7.149
